City,State,Population,Land_Area,Population_Density
Tallahassee,Florida,194500.0,100.4,1901.0
Cape Coral,Florida,194495.0,105.6,1703.0
Mobile,Alabama,188720.0,139.4,1384.0
Knoxville,Tennessee,187603.0,98.5,1891.0
Shreveport,Louisiana,187112.0,107.1,1820.0
Worcester,Massachusetts,185428.0,37.4,4933.0
Ontario,California,185010.0,49.9,3471.0
Vancouver,Washington,184463.0,46.9,3728.0
Sioux Falls,South Dakota,183793.0,75.4,2312.0
Chattanooga,Tennessee,182799.0,143.1,1241.0
Brownsville,Texas,182781.0,132.5,1387.0
Fort Lauderdale,Florida,182437.0,34.6,5166.0
Providence,Rhode Island,179883.0,18.4,9740.0
Newport News,Virginia,179225.0,69.1,2631.0
Rancho Cucamonga,California,177603.0,40.0,4413.0
Santa Rosa,California,176753.0,41.3,4241.0
Peoria,Arizona,175961.0,175.7,934.0
Oceanside,California,175742.0,41.3,4249.0
Elk Grove,California,174775.0,42.2,4022.0
Salem,Oregon,174365.0,48.6,3445.0
Pembroke Pines,Florida,173591.0,33.0,5109.0
Eugene,Oregon,172622.0,44.1,3777.0
Garden Grove,California,171644.0,18.0,9714.0
Cary,North Carolina,170282.0,56.5,2873.0
Fort Collins,Colorado,170243.0,55.8,2943.0
Corona,California,169868.0,39.5,4222.0
Springfield,Missouri,167882.0,82.3,2033.0
Jackson,Mississippi,160628.0,111.0,1524.0
Alexandria,Virginia,159428.0,15.0,10387.0
Hayward,California,159203.0,45.5,3493.0
Clarksville,Tennessee,158146.0,98.3,1529.0
Lakewood,Colorado,157935.0,42.9,3599.0
Lancaster,California,157601.0,94.3,1698.0
Salinas,California,155465.0,23.6,6662.0
Palmdale,California,155079.0,106.0,1484.0
Hollywood,Florida,154817.0,27.3,5568.0
Springfield,Massachusetts,153606.0,31.9,4830.0
Macon,Georgia,153159.0,249.3,612.0
Kansas City,Kansas,152960.0,124.8,1216.0
Sunnyvale,California,152703.0,22.0,6944.0
Pomona,California,151691.0,23.0,6630.0
Killeen,Texas,151666.0,53.5,2680.0
Escondido,California,151625.0,37.1,4087.0
Pasadena,Texas,151227.0,43.5,3525.0
Naperville,Illinois,148449.0,38.7,3802.0
Bellevue,Washington,148164.0,33.5,4221.0
Joliet,Illinois,147344.0,64.4,2302.0
Murfreesboro,Tennessee,146900.0,55.9,2360.0
Midland,Texas,146038.0,74.4,1809.0
Rockford,Illinois,145609.0,63.5,2325.0
Paterson,New Jersey,145233.0,8.4,17500.0
Savannah,Georgia,144464.0,103.6,1417.0
Bridgeport,Connecticut,144399.0,16.1,9064.0
Torrance,California,143592.0,20.5,7180.0
McAllen,Texas,143268.0,58.4,2435.0
Syracuse,New York,142327.0,25.0,5735.0
Surprise,Arizona,141664.0,107.9,1230.0
Denton,Texas,141541.0,93.4,1433.0
Roseville,California,141500.0,43.0,3085.0
Thornton,Colorado,141464.0,35.7,3829.0
Miramar,Florida,141191.0,29.4,4709.0
Pasadena,California,141029.0,23.0,6176.0
Mesquite,Texas,140937.0,47.2,3045.0
Olathe,Kansas,140545.0,60.9,2225.0
Dayton,Ohio,140407.0,55.7,2522.0
Carrollton,Texas,139248.0,36.3,3674.0
Waco,Texas,139236.0,89.0,1510.0
Orange,California,138669.0,25.4,5532.0
Fullerton,California,138632.0,22.4,6282.0
Charleston,South Carolina,137566.0,109.0,1233.0
West Valley City,Utah,135248.0,35.5,3847.0
Visalia,California,134605.0,37.5,3495.0
Hampton,Virginia,134510.0,51.5,2629.0
Gainesville,Florida,133997.0,62.3,2112.0
Warren,Michigan,133943.0,34.4,3928.0
Coral Springs,Florida,133759.0,23.8,5465.0
Cedar Rapids,Iowa,133562.0,70.8,1852.0
Round Rock,Texas,133372.0,35.6,3396.0
Sterling Heights,Michigan,132438.0,36.5,3628.0
Kent,Washington,132319.0,33.7,3784.0
Columbia,South Carolina,131674.0,133.5,1006.0
Santa Clara,California,130365.0,18.4,6845.0
