zip_code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_age,total_households
80917,29708,76.0,4.0,1.0,14.0,27180.0,36.2,13018
80918,47189,77.0,4.0,3.0,12.0,30162.0,33.6,18728
80919,27391,83.0,3.0,3.0,7.0,41929.0,42.2,11030
80920,38409,80.0,4.0,4.0,8.0,36258.0,36.3,13529
80921,19280,84.0,1.0,4.0,7.0,45816.0,40.0,6992
80922,26468,72.0,4.0,4.0,13.0,29442.0,32.0,9204
80923,27211,74.0,4.0,4.0,13.0,29558.0,31.0,10121
80924,5046,74.0,5.0,6.0,11.0,32084.0,30.7,2002
80925,6662,61.0,10.0,4.0,20.0,25219.0,30.4,2341
80926,1273,90.0,0.0,1.0,7.0,29573.0,42.0,603
80927,977,71.0,6.0,0.0,12.0,46189.0,31.8,526
80928,1141,78.0,9.0,0.0,5.0,21729.0,40.5,468
80929,275,81.0,0.0,9.0,10.0,33597.0,57.3,125
80930,885,89.0,1.0,0.0,0.0,30650.0,41.2,467
80938,34,100.0,0.0,0.0,0.0,,,0
80951,4126,57.0,10.0,5.0,20.0,28848.0,27.0,1476
81001,29145,41.0,2.0,1.0,54.0,18745.0,35.3,11948
81003,15553,41.0,5.0,0.0,50.0,16474.0,37.1,5698
81004,26051,42.0,2.0,0.0,53.0,17511.0,36.6,10480
81005,30310,54.0,1.0,0.0,43.0,24629.0,41.9,12487
81006,11932,63.0,1.0,0.0,34.0,24105.0,44.2,4429
81007,29974,73.0,1.0,0.0,23.0,25977.0,38.4,10940
81008,10839,49.0,2.0,2.0,46.0,25536.0,36.8,4213
81019,1493,93.0,0.0,1.0,2.0,22594.0,47.3,659
81020,882,57.0,0.0,1.0,37.0,20675.0,57.7,428
81021,9,100.0,0.0,0.0,0.0,18278.0,28.5,9
81022,1503,55.0,0.0,0.0,36.0,19426.0,45.1,566
81023,1232,93.0,0.0,6.0,1.0,34630.0,45.0,524
81024,110,100.0,0.0,0.0,0.0,39746.0,51.4,71
81025,974,77.0,0.0,0.0,22.0,22317.0,47.3,381
81027,155,66.0,0.0,0.0,26.0,20024.0,48.6,62
81029,274,87.0,0.0,2.0,2.0,19459.0,55.9,102
81030,130,72.0,0.0,0.0,28.0,12879.0,28.5,57
81033,402,53.0,1.0,0.0,45.0,11695.0,31.7,63
81036,1004,93.0,0.0,1.0,5.0,22508.0,42.5,413
81038,361,52.0,25.0,4.0,9.0,3781.0,37.8,0
81039,1659,84.0,0.0,1.0,13.0,24097.0,46.7,729
81040,602,89.0,0.0,0.0,11.0,32026.0,55.3,251
81041,760,25.0,0.0,0.0,71.0,12173.0,35.4,240
81043,49,80.0,0.0,0.0,20.0,18673.0,48.8,20
81044,392,93.0,0.0,0.0,7.0,24555.0,43.2,128
81045,61,98.0,0.0,0.0,2.0,29297.0,48.8,41
81047,1602,68.0,0.0,2.0,29.0,19901.0,45.3,590
81049,336,91.0,0.0,0.0,8.0,26888.0,49.0,125
81050,10071,58.0,1.0,0.0,37.0,19952.0,39.9,3792
81052,9398,63.0,0.0,0.0,35.0,18805.0,35.1,3726
81054,4745,50.0,12.0,0.0,34.0,14175.0,40.6,1248
81055,1366,88.0,0.0,0.0,10.0,31747.0,60.0,658
81057,432,59.0,0.0,0.0,40.0,16099.0,34.8,190
81058,983,52.0,7.0,0.0,39.0,14032.0,42.8,376
81059,354,58.0,13.0,0.0,29.0,10629.0,34.4,76
81062,1986,50.0,10.0,2.0,33.0,18264.0,35.7,346
81063,2341,64.0,6.0,0.0,27.0,18787.0,41.1,534
81064,280,98.0,0.0,0.0,1.0,22352.0,49.2,113
81067,5910,44.0,0.0,0.0,54.0,17125.0,41.6,2409
81069,1478,87.0,1.0,0.0,9.0,38796.0,55.7,683
81071,349,95.0,0.0,0.0,5.0,21325.0,29.9,120
81073,1851,89.0,1.0,0.0,7.0,22122.0,48.6,814
81076,657,80.0,0.0,0.0,17.0,14516.0,31.7,208
81077,464,68.0,0.0,0.0,32.0,19551.0,33.1,191
81081,48,88.0,0.0,0.0,12.0,28821.0,61.0,30
81082,12281,50.0,1.0,1.0,46.0,22270.0,43.3,4766
81084,131,98.0,0.0,0.0,2.0,20569.0,42.2,47
81087,192,84.0,1.0,0.0,15.0,13210.0,26.8,86
81089,4326,42.0,2.0,1.0,47.0,17413.0,46.8,1947
81090,1110,82.0,0.0,1.0,16.0,24036.0,42.9,424
81091,928,72.0,1.0,0.0,18.0,24187.0,50.9,274
81092,852,78.0,0.0,0.0,17.0,29214.0,41.4,344
81101,15048,48.0,1.0,1.0,47.0,19302.0,30.7,5627
81120,2029,22.0,0.0,0.0,75.0,16640.0,45.4,797
81121,217,83.0,0.0,0.0,17.0,21825.0,58.4,111
81122,7366,88.0,0.0,0.0,8.0,30837.0,45.0,3342
81123,998,50.0,0.0,2.0,42.0,21482.0,40.7,324
81124,78,31.0,6.0,0.0,63.0,10573.0,28.5,40
81125,3175,33.0,0.0,0.0,66.0,20004.0,38.8,1134
81126,188,0.0,0.0,0.0,94.0,36800.0,57.4,108
81128,111,35.0,0.0,0.0,57.0,15919.0,29.8,61
81129,207,25.0,0.0,0.0,75.0,19050.0,56.3,53
81130,756,95.0,1.0,0.0,3.0,44545.0,61.5,385
81131,1215,91.0,0.0,2.0,3.0,24626.0,49.2,672
81132,3136,60.0,0.0,0.0,39.0,18322.0,44.2,1235
81133,978,37.0,0.0,0.0,61.0,25415.0,49.3,410
81136,207,71.0,0.0,0.0,22.0,17188.0,50.5,75
81137,5434,54.0,0.0,0.0,24.0,26207.0,41.0,2299
81138,32,100.0,0.0,0.0,0.0,38081.0,44.9,26
81140,2500,44.0,0.0,0.0,55.0,18187.0,37.5,964
81141,1499,51.0,0.0,0.0,44.0,16939.0,33.1,442
81143,523,67.0,1.0,0.0,25.0,22668.0,52.1,306
81144,7296,48.0,0.0,0.0,50.0,19928.0,39.6,2696
81146,690,67.0,0.0,0.0,18.0,19170.0,44.2,230
81147,11531,78.0,0.0,1.0,18.0,30255.0,47.6,5091
81148,451,15.0,0.0,0.0,84.0,9761.0,27.7,118
81149,1028,64.0,1.0,0.0,29.0,20118.0,50.1,422
81151,1452,71.0,0.0,0.0,28.0,19030.0,38.2,534
81152,1269,12.0,0.0,0.0,87.0,14289.0,53.6,560
81154,1399,79.0,2.0,1.0,14.0,24569.0,44.6,584
81155,355,87.0,0.0,1.0,8.0,34875.0,58.3,166
81201,8953,89.0,0.0,0.0,8.0,29283.0,47.4,4160
81210,337,81.0,0.0,0.0,0.0,21244.0,52.5,109
81211,7144,83.0,5.0,0.0,11.0,24338.0,47.2,2751
81212,29956,76.0,7.0,1.0,13.0,18542.0,42.7,10770
81220,111,100.0,0.0,0.0,0.0,35032.0,63.0,84
81221,279,95.0,0.0,0.0,4.0,15875.0,50.9,116
81222,388,98.0,0.0,2.0,1.0,20418.0,39.9,197
81223,1402,97.0,0.0,0.0,1.0,24885.0,58.8,776
81224,3689,93.0,0.0,2.0,4.0,35449.0,37.4,1508
81225,783,97.0,1.0,0.0,0.0,34663.0,45.0,496
81226,9132,63.0,11.0,1.0,19.0,16099.0,40.1,2149
81230,9106,87.0,0.0,0.0,11.0,24820.0,31.3,3779
81231,618,73.0,8.0,0.0,16.0,4569.0,19.4,0
81232,44,91.0,0.0,0.0,9.0,9882.0,13.8,6
81233,1153,97.0,0.0,0.0,3.0,30431.0,58.7,458
81235,714,96.0,0.0,0.0,3.0,35770.0,54.5,331
81236,923,97.0,0.0,0.0,3.0,36943.0,61.8,485
81237,132,100.0,0.0,0.0,0.0,22664.0,49.0,45
81239,9,100.0,0.0,0.0,0.0,,,10
81240,3966,89.0,0.0,0.0,6.0,22739.0,49.9,1610
81241,40,100.0,0.0,0.0,0.0,15410.0,66.0,36
81242,1052,77.0,1.0,0.0,19.0,20001.0,30.6,373
81243,91,69.0,8.0,0.0,0.0,16069.0,59.9,58
81244,327,91.0,0.0,0.0,9.0,17120.0,37.6,147
81248,122,49.0,0.0,0.0,51.0,20468.0,30.9,55
81251,100,100.0,0.0,0.0,0.0,49185.0,48.6,91
81252,3715,93.0,1.0,0.0,5.0,25519.0,54.6,1785
81253,554,98.0,0.0,0.0,0.0,23530.0,56.5,261
81301,29238,84.0,1.0,1.0,10.0,31089.0,35.9,11984
81303,8087,74.0,0.0,0.0,18.0,29287.0,38.4,3119
81320,220,95.0,0.0,0.0,5.0,25758.0,62.7,96
81321,14155,70.0,0.0,1.0,16.0,22125.0,40.8,5871
81323,5207,91.0,0.0,0.0,6.0,23951.0,43.1,1958
81324,1180,90.0,0.0,0.0,5.0,22513.0,45.8,490
81325,122,69.0,0.0,0.0,31.0,17025.0,39.2,96
81326,2239,90.0,0.0,0.0,8.0,27503.0,45.3,884
81327,765,88.0,0.0,0.0,4.0,28521.0,49.6,269
81328,3885,88.0,0.0,0.0,7.0,27163.0,51.4,1690
81330,8,100.0,0.0,0.0,0.0,,,26
81331,238,100.0,0.0,0.0,0.0,35629.0,58.6,241
81332,244,99.0,0.0,1.0,0.0,22464.0,40.3,87
81334,1298,4.0,0.0,0.0,5.0,12862.0,30.8,384
81335,97,100.0,0.0,0.0,0.0,133895.0,60.4,67
